date,year,month,country,warehouse,service_line,orders,revenue_eur,returns_rate
2016-01-01,2016,1,US,Los_Angeles,fulfillment,2557,107383.17,0.2107
2016-01-01,2016,1,US,Los_Angeles,last_mile,1412,59318.16,0.2288
2016-01-01,2016,1,US,Los_Angeles,returns,862,25342.61,0.2483
2016-01-01,2016,1,ES,Zaragoza,fulfillment,1528,58058.62,0.235
2016-01-01,2016,1,ES,Zaragoza,last_mile,894,33980.01,0.2115
2016-01-01,2016,1,ES,Zaragoza,returns,659,17523.24,0.2449
2016-02-01,2016,2,US,Los_Angeles,fulfillment,2625,110254.22,0.2376
2016-02-01,2016,2,US,Los_Angeles,last_mile,1448,60819.15,0.1959
2016-02-01,2016,2,US,Los_Angeles,returns,970,28523.44,0.1845
2016-02-01,2016,2,ES,Zaragoza,fulfillment,1623,61679.83,0.2242
2016-02-01,2016,2,ES,Zaragoza,last_mile,920,34972.25,0.2048
2016-02-01,2016,2,ES,Zaragoza,returns,690,18353.09,0.2425
2016-03-01,2016,3,US,Los_Angeles,fulfillment,2785,116969.76,0.1936
2016-03-01,2016,3,US,Los_Angeles,last_mile,1567,65803.55,0.1831
2016-03-01,2016,3,US,Los_Angeles,returns,1049,30839.15,0.2278
2016-03-01,2016,3,ES,Zaragoza,fulfillment,1827,69442.27,0.2477
2016-03-01,2016,3,ES,Zaragoza,last_mile,982,37318.72,0.2059
2016-03-01,2016,3,ES,Zaragoza,returns,730,19409.63,0.1933
2016-04-01,2016,4,US,Los_Angeles,fulfillment,2905,122011.45,0.2133
2016-04-01,2016,4,US,Los_Angeles,last_mile,1541,64716.98,0.2269
2016-04-01,2016,4,US,Los_Angeles,returns,1094,32175.8,0.2383
2016-04-01,2016,4,ES,Zaragoza,fulfillment,1682,63908.3,0.2019
2016-04-01,2016,4,ES,Zaragoza,last_mile,1008,38286.92,0.2363
2016-04-01,2016,4,ES,Zaragoza,returns,740,19680.05,0.2002
2016-05-01,2016,5,US,Los_Angeles,fulfillment,3067,128812.5,0.1898
2016-05-01,2016,5,US,Los_Angeles,last_mile,1658,69615.81,0.1805
2016-05-01,2016,5,US,Los_Angeles,returns,1099,32323.81,0.2265
2016-05-01,2016,5,ES,Zaragoza,fulfillment,1698,64531.97,0.2347
2016-05-01,2016,5,ES,Zaragoza,last_mile,1035,39341.48,0.2198
2016-05-01,2016,5,ES,Zaragoza,returns,745,19807.4,0.188
2016-06-01,2016,6,US,Los_Angeles,fulfillment,2799,117575.63,0.213
2016-06-01,2016,6,US,Los_Angeles,last_mile,1478,62074.93,0.2335
2016-06-01,2016,6,US,Los_Angeles,returns,1062,31216.81,0.2188
2016-06-01,2016,6,ES,Zaragoza,fulfillment,1779,67601.94,0.2013
2016-06-01,2016,6,ES,Zaragoza,last_mile,1009,38326.43,0.2106
2016-06-01,2016,6,ES,Zaragoza,returns,751,19982.57,0.2086
2016-07-01,2016,7,US,Los_Angeles,fulfillment,2673,112253.74,0.1964
2016-07-01,2016,7,US,Los_Angeles,last_mile,1473,61863.0,0.1997
2016-07-01,2016,7,US,Los_Angeles,returns,1028,30229.95,0.2263
2016-07-01,2016,7,ES,Zaragoza,fulfillment,1491,56667.74,0.2349
2016-07-01,2016,7,ES,Zaragoza,last_mile,910,34580.95,0.2084
2016-07-01,2016,7,ES,Zaragoza,returns,646,17190.5,0.1917
2016-08-01,2016,8,US,Los_Angeles,fulfillment,2733,114772.82,0.1863
2016-08-01,2016,8,US,Los_Angeles,last_mile,1443,60593.13,0.2123
2016-08-01,2016,8,US,Los_Angeles,returns,996,29271.07,0.2151
2016-08-01,2016,8,ES,Zaragoza,fulfillment,1523,57873.68,0.2287
2016-08-01,2016,8,ES,Zaragoza,last_mile,902,34259.7,0.2067
2016-08-01,2016,8,ES,Zaragoza,returns,620,16491.99,0.2241
2016-09-01,2016,9,US,Los_Angeles,fulfillment,2856,119970.27,0.1861
2016-09-01,2016,9,US,Los_Angeles,last_mile,1575,66149.01,0.2473
2016-09-01,2016,9,US,Los_Angeles,returns,1126,33096.7,0.229
2016-09-01,2016,9,ES,Zaragoza,fulfillment,1801,68441.97,0.2478
2016-09-01,2016,9,ES,Zaragoza,last_mile,1060,40291.26,0.2302
2016-09-01,2016,9,ES,Zaragoza,returns,742,19733.4,0.1991
2016-10-01,2016,10,US,Los_Angeles,fulfillment,3222,135344.89,0.2432
2016-10-01,2016,10,US,Los_Angeles,last_mile,1867,78399.93,0.1942
2016-10-01,2016,10,US,Los_Angeles,returns,1238,36384.94,0.2205
2016-10-01,2016,10,ES,Zaragoza,fulfillment,1963,74576.23,0.24
2016-10-01,2016,10,ES,Zaragoza,last_mile,1182,44913.1,0.2304
2016-10-01,2016,10,ES,Zaragoza,returns,849,22582.42,0.2239
2016-11-01,2016,11,US,Los_Angeles,fulfillment,4243,178210.51,0.2255
2016-11-01,2016,11,US,Los_Angeles,last_mile,2107,88511.5,0.2091
2016-11-01,2016,11,US,Los_Angeles,returns,1481,43532.63,0.2146
2016-11-01,2016,11,ES,Zaragoza,fulfillment,2302,87484.46,0.1901
2016-11-01,2016,11,ES,Zaragoza,last_mile,1383,52560.78,0.2211
2016-11-01,2016,11,ES,Zaragoza,returns,919,24440.22,0.2448
2016-12-01,2016,12,US,Los_Angeles,fulfillment,3963,166447.69,0.2043
2016-12-01,2016,12,US,Los_Angeles,last_mile,2234,93840.74,0.1816
2016-12-01,2016,12,US,Los_Angeles,returns,1394,40976.14,0.2138
2016-12-01,2016,12,ES,Zaragoza,fulfillment,2564,97447.69,0.1858
2016-12-01,2016,12,ES,Zaragoza,last_mile,1596,60662.51,0.2143
2016-12-01,2016,12,ES,Zaragoza,returns,1081,28761.2,0.22
2017-01-01,2017,1,US,Los_Angeles,fulfillment,2558,107416.19,0.1987
2017-01-01,2017,1,US,Los_Angeles,last_mile,1461,61349.8,0.2164
2017-01-01,2017,1,US,Los_Angeles,returns,989,29079.38,0.1815
2017-01-01,2017,1,ES,Zaragoza,fulfillment,1724,65502.45,0.2427
2017-01-01,2017,1,ES,Zaragoza,last_mile,972,36938.76,0.2188
2017-01-01,2017,1,ES,Zaragoza,returns,657,17483.89,0.2271
2017-02-01,2017,2,US,Los_Angeles,fulfillment,2856,119948.78,0.2309
2017-02-01,2017,2,US,Los_Angeles,last_mile,1564,65673.29,0.1875
2017-02-01,2017,2,US,Los_Angeles,returns,1028,30227.17,0.1961
2017-02-01,2017,2,ES,Zaragoza,fulfillment,1662,63166.89,0.2188
2017-02-01,2017,2,ES,Zaragoza,last_mile,1087,41320.84,0.2381
2017-02-01,2017,2,ES,Zaragoza,returns,744,19792.29,0.2022
2017-03-01,2017,3,US,Los_Angeles,fulfillment,3190,133964.37,0.2004
2017-03-01,2017,3,US,Los_Angeles,last_mile,1671,70188.58,0.1979
2017-03-01,2017,3,US,Los_Angeles,returns,1104,32450.86,0.1915
2017-03-01,2017,3,ES,Zaragoza,fulfillment,1828,69451.63,0.2105
2017-03-01,2017,3,ES,Zaragoza,last_mile,1044,39658.12,0.2424
2017-03-01,2017,3,ES,Zaragoza,returns,823,21904.73,0.2424
2017-04-01,2017,4,US,Los_Angeles,fulfillment,3173,133275.54,0.2163
2017-04-01,2017,4,US,Los_Angeles,last_mile,1813,76132.08,0.234
2017-04-01,2017,4,US,Los_Angeles,returns,1149,33768.05,0.2062
2017-04-01,2017,4,ES,Zaragoza,fulfillment,1945,73896.73,0.2323
2017-04-01,2017,4,ES,Zaragoza,last_mile,1134,43100.65,0.2456
2017-04-01,2017,4,ES,Zaragoza,returns,766,20387.63,0.1886
2017-05-01,2017,5,US,Los_Angeles,fulfillment,3448,144801.08,0.1907
2017-05-01,2017,5,US,Los_Angeles,last_mile,1745,73293.66,0.222
2017-05-01,2017,5,US,Los_Angeles,returns,1143,33605.42,0.2017
2017-05-01,2017,5,ES,Zaragoza,fulfillment,1999,75962.75,0.248
2017-05-01,2017,5,ES,Zaragoza,last_mile,1150,43692.17,0.1901
2017-05-01,2017,5,ES,Zaragoza,returns,831,22108.16,0.1961
2017-06-01,2017,6,US,Los_Angeles,fulfillment,3164,132885.6,0.2274
2017-06-01,2017,6,US,Los_Angeles,last_mile,1593,66890.47,0.2154
2017-06-01,2017,6,US,Los_Angeles,returns,1119,32910.38,0.2207
2017-06-01,2017,6,ES,Zaragoza,fulfillment,1838,69846.47,0.2363
2017-06-01,2017,6,ES,Zaragoza,last_mile,1151,43747.85,0.2317
2017-06-01,2017,6,ES,Zaragoza,returns,798,21217.22,0.1887
2017-07-01,2017,7,US,Los_Angeles,fulfillment,3109,130563.6,0.2078
2017-07-01,2017,7,US,Los_Angeles,last_mile,1644,69031.72,0.2142
2017-07-01,2017,7,US,Los_Angeles,returns,1139,33481.33,0.2469
2017-07-01,2017,7,ES,Zaragoza,fulfillment,1645,62509.47,0.2447
2017-07-01,2017,7,ES,Zaragoza,last_mile,965,36680.54,0.2189
2017-07-01,2017,7,ES,Zaragoza,returns,699,18599.34,0.1874
2017-08-01,2017,8,US,Los_Angeles,fulfillment,3033,127405.36,0.2093
2017-08-01,2017,8,US,Los_Angeles,last_mile,1790,75177.3,0.2217
2017-08-01,2017,8,US,Los_Angeles,returns,1073,31541.85,0.2363
2017-08-01,2017,8,ES,Zaragoza,fulfillment,1553,58995.8,0.2349
2017-08-01,2017,8,ES,Zaragoza,last_mile,973,36980.93,0.1876
2017-08-01,2017,8,ES,Zaragoza,returns,670,17821.77,0.2358
2017-09-01,2017,9,US,Los_Angeles,fulfillment,3067,128825.11,0.2172
2017-09-01,2017,9,US,Los_Angeles,last_mile,1737,72958.11,0.2407
2017-09-01,2017,9,US,Los_Angeles,returns,1307,38418.74,0.2089
2017-09-01,2017,9,ES,Zaragoza,fulfillment,1933,73450.23,0.2256
